model_name,fold,final_accuracy,final_loss,best_accuracy,best_loss,epochs_trained,training_time_seconds,model_size_mb,timestamp,learning_rate,batch_size,weight_decay,warmup_steps,accuracy,precision,recall,f1_score,ham_precision,ham_recall,ham_f1_score,ham_support,spam_precision,spam_recall,spam_f1_score,spam_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
Distilbert + Vit-Tiny,3,0.8918,0.1882,0.8918,0.1882,3,1367,538.0387344360352,2025-09-08T22:13:49.312893,0.0005,40,0.01,183,0.8918,0.8924,0.8918,0.8918,0.9093586387434555,0.8783185840707964,0.8935691318327973,3164.0,0.8742651861528413,0.9062288422477996,0.8899601063829788,2954.0,0.8918119124481484,0.892273713159298,0.8917646191078881,6118.0,0.8924142028244175,0.8917947041516836,0.8918265589039376,6118.0,0.1951,0.8919,0.1882,0.8918
Distilbert + Vit-Tiny,4,0.8975,0.1845,0.8975,0.1845,3,1370,538.0387344360352,2025-09-08T22:36:39.954006,0.0005,40,0.01,183,0.8975,0.9005,0.8975,0.8976,0.9362194315928619,0.8671564126109581,0.900365485460035,3267.0,0.8596377749029754,0.9323044545773412,0.8944977284199899,2851.0,0.8979286032479187,0.8997304335941496,0.8974316069400124,6118.0,0.9005322293661756,0.8975155279503105,0.8976310991702068,6118.0,0.19,0.8943,0.1845,0.8975
Distilbert + Vit-Tiny,5,0.8993,0.1897,0.9006,0.1897,3,1362,538.0387344360352,2025-09-08T22:59:22.258644,0.0005,40,0.01,183,0.9006,0.8994,0.8993,0.8993,0.9050955414012739,0.899367088607595,0.9022222222222223,3160.0,0.8932527693856999,0.8992903007772897,0.8962613674637926,2959.0,0.8991741553934869,0.8993286946924424,0.8992417948430074,6119.0,0.8993686640693432,0.899329955875143,0.8993396974256552,6119.0,0.1875,0.8945,0.1897,0.8993
Mobilebert + Beit,1,0.5147,,0.5147,,3,2017,448.6617889404297,2025-09-07T19:27:05.000389,0.0005,40,0.01,183,0.5147,0.2649,0.5147,0.3498,0.514710689767898,1.0,0.679615841156793,3149.0,0.0,0.0,0.0,2969.0,0.257355344883949,0.5,0.3398079205783965,6118.0,0.26492709416134536,0.514710689767898,0.3498055383790031,6118.0,,0.5199,,0.5147
Mobilebert + Beit,2,0.5119,,0.5119,,3,2014,448.6617889404297,2025-09-07T20:00:39.529172,0.0005,40,0.01,183,0.5119,0.2621,0.5119,0.3467,0.5119320039228507,1.0,0.6771891891891891,3132.0,0.0,0.0,0.0,2986.0,0.2559660019614253,0.5,0.33859459459459457,6118.0,0.26207437664046557,0.5119320039228507,0.346674818656512,6118.0,,0.5206,,0.5119
Mobilebert + Beit,3,0.5172,,0.5172,,3,2021,448.6617889404297,2025-09-07T20:34:20.972937,0.0005,40,0.01,183,0.5172,0.2675,0.5172,0.3526,0.517162471395881,1.0,0.6817496229260935,3164.0,0.0,0.0,0.0,2954.0,0.2585812356979405,0.5,0.34087481146304677,6118.0,0.26745702182029546,0.517162471395881,0.35257531986566853,6118.0,,0.5193,,0.5172
Mobilebert + Beit,4,0.534,,0.534,,3,2018,448.6617889404297,2025-09-07T21:07:59.748854,0.0005,40,0.01,183,0.534,0.2852,0.534,0.3718,0.5339980385746976,1.0,0.6962173681406499,3267.0,0.0,0.0,0.0,2851.0,0.2669990192873488,0.5,0.34810868407032497,6118.0,0.28515390520162426,0.5339980385746976,0.37177870900874527,6118.0,,0.5151,,0.534
Mobilebert + Beit,5,0.5164,,0.5164,,3,2016,448.6617889404297,2025-09-07T21:41:36.554638,0.0005,40,0.01,183,0.5164,0.2667,0.5164,0.3517,0.516424252328812,1.0,0.6811078780040953,3160.0,0.0,0.0,0.0,2959.0,0.258212126164406,0.5,0.34055393900204767,6119.0,0.26669400839337243,0.516424252328812,0.3517406266535285,6119.0,,0.5195,,0.5164
Mobilebert + Deit,1,0.4853,0.7406,0.4853,0.7406,3,2243,424.00577545166016,2025-09-08T06:43:53.333090,0.0005,40,0.01,183,0.4853,0.2355,0.4853,0.3171,0.0,0.0,0.0,3149.0,0.485289310232102,1.0,0.6534609882249367,2969.0,0.242644655116051,0.5,0.32673049411246835,6118.0,0.2355057146255493,0.485289310232102,0.31711763223926726,6118.0,0.7283,0.4885,0.7406,0.4853
Mobilebert + Deit,2,0.5119,0.7598,0.5119,0.7598,3,2237,424.00577545166016,2025-09-08T07:21:11.272761,0.0005,40,0.01,183,0.5119,0.2621,0.5119,0.3467,0.5119320039228507,1.0,0.6771891891891891,3132.0,0.0,0.0,0.0,2986.0,0.2559660019614253,0.5,0.33859459459459457,6118.0,0.26207437664046557,0.5119320039228507,0.346674818656512,6118.0,0.7431,0.5207,0.7598,0.5119
